timestamp,speed,category
24316,460,1
24317,455,1
24318,465,1
24319,467,1
24320,467,1
24321,465,1
24322,463,1
24323,461,1
24324,454,1
24325,452,1
24326,444,1
24327,441,1
24328,434,1
24329,433,1
24330,427,1
24331,424,1
24332,421,1
24333,424,1
24334,421,1
24335,418,1
24336,421,1
24337,416,1
24338,411,1
24339,440,1
24340,402,1
24341,415,1
24342,411,1
24343,409,1
24344,396,1
24345,414,1
24346,389,1
24347,412,1
24348,401,1
24349,396,1
24350,401,1
24351,396,1
24352,385,1
24353,385,1
24354,386,1
24355,371,1
24356,377,1
24357,377,1
24358,384,1
24359,375,1
24360,379,1
24361,376,1
24362,370,1
24363,369,1
24364,387,1
24365,374,1
24366,362,1
24367,362,1
24368,363,1
24369,358,1
24370,362,1
24371,363,1
24372,356,1
24373,355,1
24374,370,1
24375,387,1
24376,388,1
24377,378,1
24378,374,1
24379,379,1
24380,385,1
24381,384,1
24382,397,1
24383,388,1
24384,376,1
24385,377,1
24386,375,1
24387,377,1
24388,377,1
24389,373,1
24390,368,1
24391,368,1
24392,366,1
24393,360,1
24394,359,1
24395,354,1
24396,352,1
24397,348,1
24398,345,1
24399,345,1
24400,346,1
24401,342,1
24402,339,1
24403,338,1
24404,337,1
24405,333,1
24406,330,1
24407,327,1
24408,325,1
24409,326,1
24410,326,1
24411,325,1
24412,327,1
24413,338,1
24414,342,1
24415,349,1
24416,375,1
24417,394,1
24418,394,1
24419,431,1
24420,444,1
24421,460,1
24422,464,1
24423,446,1
24424,460,1
24425,463,1
24426,455,1
24427,456,1
24428,470,1
24429,468,1
24430,468,1
24431,472,1
24432,452,1
24433,472,1
24434,522,2
24435,518,2
24436,529,2
24437,513,2
24438,503,2
24439,513,2
24440,511,2
24441,504,2
24442,500,2
24443,480,1
24444,491,1
24445,510,2
24446,538,2
24447,528,2
24448,538,2
24449,534,2
24450,547,2
24451,543,2
24452,546,2
24453,528,2
24454,525,2
24455,531,2
24456,533,2
24457,530,2
24458,531,2
24459,531,2
24460,523,2
24461,520,2
24462,521,2
24463,502,2
24464,505,2
24465,504,2
24466,495,1
24467,491,1
24468,486,1
24469,495,1
24470,483,1
24471,484,1
24472,478,1
24473,473,1
24474,473,1
24475,463,1
24476,463,1
24477,477,1
24478,469,1
24479,469,1
24480,464,1
24481,459,1
24482,466,1
24483,460,1
24484,474,1
24485,466,1
24486,446,1
24487,451,1
24488,450,1
24489,442,1
24490,436,1
24491,443,1
24492,434,1
24493,440,1
24494,448,1
24495,438,1
24496,443,1
24497,431,1
24498,426,1
24499,413,1
24500,404,1
24501,397,1
24502,400,1
24503,389,1
24504,387,1
24505,384,1
24506,380,1
24507,383,1
24508,379,1
24509,371,1
24510,375,1
24511,373,1
24512,366,1
24513,372,1
24514,371,1
24515,368,1
24516,367,1
24517,370,1
24518,359,1
24519,375,1
24520,380,1
24521,378,1
24522,367,1
24523,358,1
24524,352,1
24525,368,1
24526,374,1
24527,368,1
24528,368,1
24529,373,1
24530,369,1
24531,368,1
24532,359,1
24533,354,1
24534,353,1
24535,347,1
24536,334,1
24537,334,1
24538,319,1
24539,329,1
24540,330,1
24541,323,1
24542,331,1
24543,343,1
24544,339,1
24545,325,1
24546,321,1
24547,321,1
24548,315,1
24549,312,1
24550,305,1
24551,322,1
24552,318,1
24553,318,1
24554,317,1
24555,319,1
24556,315,1
24557,315,1
24558,307,1
24559,305,1
24560,294,0
24561,296,0
24562,297,0
24563,304,1
24564,318,1
24565,309,1
24566,294,0
24567,297,0
24568,300,1
24569,312,1
24570,312,1
24571,308,1
24572,307,1
24573,303,1
24574,299,0
24575,304,1
24576,301,1
24577,299,0
24578,303,1
24579,307,1
24580,306,1
